"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.00697674418604651,0.00332225913621262,0,0.00387596899224806,0.0371908453303802,0.00775193798449612,0.911535622000738,0.00996677740863787,0.0155038759689922,0,0
"bII",0.0465116279069767,0,0,0,0,0,0,0,0,0,0,0
"II",0.0872093023255814,0,0,0,0.0426356589147287,0.063953488372093,0,0.062015503875969,0.0232558139534884,0.0348837209302326,0.0116279069767442,0
"bIII",0,0,0.0232558139534884,0,0,0.0387596899224806,0,0.0310077519379845,0.0232558139534884,0,0,0
"III",0.0131782945736434,0,0.0325581395348837,0,0,0.0930232558139535,0,0.0472868217054264,0,0.0465116279069767,0,0
"IV",0.0756585791469512,0,0.00258397932816537,0.0465116279069767,0.0420819490586932,0,0,0.341137286486124,0.0232558139534884,0.0656699889258029,0,0
"bV",0,0,0,0,0,0,0,0,0,0,0,0.0232558139534884
"V",0.582958966098501,0,0.0510838967234316,0.00845665961945032,0.0534145441122185,0.180077867868566,0,0,0,0.0874632150794941,0.00664451827242525,0
"bVI",0.0232558139534884,0,0,0.0232558139534884,0,0,0,0.0465116279069767,0,0,0,0
"VI",0.0895348837209302,0,0.0686046511627907,0,0.0325581395348837,0.123255813953488,0,0.104651162790698,0,0,0.0232558139534884,0
"bVII",0.0503875968992248,0,0,0.0232558139534884,0,0.00775193798449612,0,0,0,0.0116279069767442,0,0
"VII",0,0,0,0,0.0232558139534884,0,0,0,0,0,0,0
