song,artist,year,meter,cluster15
IDon'tmind,JamesBrown,1961,6/8,14
You'vegotaFriend,RobertaFlackandDonnyHathaway,1971,4/4,11
TheRose,BetteMidler,1980,4/4,7
AnInnocentMan,BillyJoel,1984,4/4,13
Lookin'forLove,JohnnyLee,1980,4/4,10
LastChild,Aerosmith,1976,4/4,3
SheBop,CyndiLauper,1984,4/4,5
KissOnMyList,Hall&Oates,1981,4/4,5
Here'sSomeLove,TanyaTucker,1976,4/4,13
JustCan'tWait,TheJ.GeilsBand,1980,4/4,7
NeverMyLove,The5thDimension,1971,4/4,12
AndSheWas,TalkingHeads,1985,4/4,3
Chicago,GrahamNash,1971,4/4,5
SwingTalkin'Guy,Chiffons,1966,4/4,4
Rock'n'RollFantasy,BadCompany,1979,4/4,5
TheJoker,SteveMillerBand,1973,4/4,10
IndianaWantsMe,RDeanTayloy,1970,4/4,13
CrazyOnYou,Heart,1978,4/4,5
YvonneElliman,IfICan'tHaveYou,1978,4/4,12
JimiHendrix,Freedom,1971,4/4,3
FoggyMountainBreakdown,Flatt&Scruggs,1968,4/4,14
It'sOnlyRockandRoll(ButILikeIt),RollingStones,1974,4/4,3
ThePower,Snap,1990,4/4,7
AbsolutelyRight,FiveManElectricalBand,1971,4/4,9
TwoHearts,PhilCollins,1989,4/4,2
SomeLikeItHot,ThePowerStation,1985,4/4,5
I'llTakeYouThere,TheStapleSingers,1972,4/4,13
People,BarbaraStreisand,1964,4/4,11
LoveMeDo,Beatles,1964,4/4,3
Carrie,CliffRichard,1980,4/4,5
OverTheHillsandFarAway,LedZeppelin,1973,4/4,8
LastKiss,J.FrankWilson&TheCavaliers,1964,4/4,6
SmokingGun,TheRobertCrayBand,1987,4/4,3
ILoveYouSo,BobbiMartin,1965,4/4,11
IsThatAllThereIs,PeggyLee,1969,3/4,4
IPutASpellOnYou,CreedenceClearwaterRevival,1968,12/8,13
HurtsToBeInLove,GinoVanelli,1985,4/4,5
CrySoftlyLonelyOne,RoyOrbison,1967,4/4,9
DoYouLoveMe,TheContours,1988,4/4,13
BongoStomp,LittleJoey&TheFlips,1962,4/4,6
BlackCars,GinoVannelli,1985,4/4,3
HotFunInTheSummertime,Sly&TheFamilyStone,1969,4/4,7
ParadisebytheDashboardLight,Meatloaf,1978,4/4,6
GetTogether,TheYoungbloods,1969,4/4,5
NowhereToRun,MarthaReeves&TheVandellas,1965,4/4,12
Drivin'Wheel,Foghat,1977,4/4,12
Reminiscing,LittleRiverBand,1978,4/4,11
DialMyHeart,TheBoys,1988,4/4,7
ColdSweat-Part1,JamesBrown,1967,4/4,5
YouCanCallMeAl,PaulSimon,1986,4/4,7
RedRedWine,UB40,1984,4/4,13
IJustCan'tStopLovingYou,MichaelJackson,1987,4/4,7
SpaceOddity,DavidBowie,1973,4/4,1
BuyForMeTheRain,NittyGrittyDirtBand,1967,4/4,5
FireAndIce,PatBenetar,1981,4/4,5
True,SpandauBallet,1983,4/4,1
ShocktheMonkey,PeterGabriel,1982,4/4,5
WildHorses,RollingStones,1971,4/4,10
MotownPhilly,BoyzIIMen,1991,4/4,13
ATrickOfTheNight,Bananarama,1987,4/4,8
MaggieMay,RodStewart,1971,4/4,2
ALessoninLeavin,DottieWest,1980,4/4,14
ForTheGoodTimes,RayPrice,1970,4/4,9
WeTwo,LittleRiverBand,1983,4/4,10
TheSpiritofRadio,Rush,1980,4/4,7
If,Bread,1971,4/4,4
SweetHomeAlabama,LynyrdSkynyrd,1974,4/4,10
Mabelleamie,Theteeset,1970,4/4,0
EightMilesHigh,TheByrds,1966,4/4,5
LetterFullofTears,GladysKnight&ThePips,1962,4/4,6
SunshineofYourLove,Cream,1968,4/4,12
SweetLittleRockN'Roll,ChuckBerry,1958,4/4,10
LetItRain,EricClapton,1972,4/4,12
StandByMe,"DavidRuffin,JimmyRuffin",1970,4/4,6
BeMyBaby,TheRonettes,1963,4/4,11
HaveYouEverLovedSomebody,FreddieJackson,1987,4/4,7
SilentNight,BingCrosby,1960,3/4,4
Promises,EricClapton,1978,4/4,4
WillieNelson,BlueEyesCryin',1975,4/4,4
StoptheWedding,EttaJames,1962,12/8,13
Brandy,LookingGlass,1972,4/4,12
TumblingDice,TheRollingStones,1972,4/4,7
Iwouldn'tHaveMisseditForTheWorld,RonnieMilsap,1981,4/4,11
DetroitCity,BobbyBare,1963,4/4,4
IHadTooMuchToDream,ElectricPrunes,1967,4/4,3
TheWayYouDoTheThingsYouDo,UB40,1990,4/4,10
LaGrange,ZZTop,1974,4/4,3
RunaroundSue,Dion,1961,4/4,6
Wheels,TheString-A-Longs,1961,4/4,7
SpiritsInTheMaterialWorld,ThePolice,1982,4/4,5
JustWhenINeededYouMost,RandyVanwarmer,1979,4/4,4
What'sLoveGotToDoWithIt,TinaTurner,1984,4/4,5
WalkRightBack,TheEverlyBrothers,1961,4/4,7
LonelyEyes,RobertJohn,1980,4/4,10
ForeverMan,EricClapton,1985,4/4,5
SleepWalk,Santo&Johnny,1959,6/8,6
SomethingAboutYou,Level42,1986,4/4,5
LittleSister,ElvisPresley,1961,4/4,4
Ifyouneedme,SolomonBurke,1963,4/4,4
SweetNothin's,BrendaLee,1960,4/4,10
NoCharge,MelbaMontgomery,1974,3/4,4
TheAnimals,SanFranciscanNights,1967,4/4,3
