song,artist,year
IDon'tmind,JamesBrown,1961
You'vegotaFriend,RobertaFlackandDonnyHathaway,1971
TheRose,BetteMidler,1980
AnInnocentMan,BillyJoel,1984
Lookin'forLove,JohnnyLee,1980
LastChild,Aerosmith,1976
SheBop,CyndiLauper,1984
KissOnMyList,Hall&Oates,1981
Here'sSomeLove,TanyaTucker,1976
JustCan'tWait,TheJ.GeilsBand,1980
NeverMyLove,The5thDimension,1971
AndSheWas,TalkingHeads,1985
Chicago,GrahamNash,1971
SwingTalkin'Guy,Chiffons,1966
Rock'n'RollFantasy,BadCompany,1979
TheJoker,SteveMillerBand,1973
IndianaWantsMe,RDeanTayloy,1970
CrazyOnYou,Heart,1978
YvonneElliman,IfICan'tHaveYou,1978
JimiHendrix,Freedom,1971
FoggyMountainBreakdown,Flatt&Scruggs,1968
It'sOnlyRockandRoll(ButILikeIt),RollingStones,1974
ThePower,Snap,1990
AbsolutelyRight,FiveManElectricalBand,1971
TwoHearts,PhilCollins,1989
SomeLikeItHot,ThePowerStation,1985
I'llTakeYouThere,TheStapleSingers,1972
People,BarbaraStreisand,1964
LoveMeDo,Beatles,1964
Carrie,CliffRichard,1980
OverTheHillsandFarAway,LedZeppelin,1973
LastKiss,J.FrankWilson&TheCavaliers,1964
SmokingGun,TheRobertCrayBand,1987
ILoveYouSo,BobbiMartin,1965
IsThatAllThereIs,PeggyLee,1969
IPutASpellOnYou,CreedenceClearwaterRevival,1968
HurtsToBeInLove,GinoVanelli,1985
CrySoftlyLonelyOne,RoyOrbison,1967
DoYouLoveMe,TheContours,1988
BongoStomp,LittleJoey&TheFlips,1962
BlackCars,GinoVannelli,1985
HotFunInTheSummertime,Sly&TheFamilyStone,1969
ParadisebytheDashboardLight,Meatloaf,1978
GetTogether,TheYoungbloods,1969
NowhereToRun,MarthaReeves&TheVandellas,1965
Drivin'Wheel,Foghat,1977
Reminiscing,LittleRiverBand,1978
DialMyHeart,TheBoys,1988
ColdSweat-Part1,JamesBrown,1967
YouCanCallMeAl,PaulSimon,1986
RedRedWine,UB40,1984
IJustCan'tStopLovingYou,MichaelJackson,1987
SpaceOddity,DavidBowie,1973
BuyForMeTheRain,NittyGrittyDirtBand,1967
FireAndIce,PatBenetar,1981
TRUE,SpandauBallet,1983
ShocktheMonkey,PeterGabriel,1982
WildHorses,RollingStones,1971
MotownPhilly,BoyzIIMen,1991
ATrickOfTheNight,Bananarama,1987
MaggieMay,RodStewart,1971
ALessoninLeavin,DottieWest,1980
ForTheGoodTimes,RayPrice,1970
WeTwo,LittleRiverBand,1983
TheSpiritofRadio,Rush,1980
If,Bread,1971
SweetHomeAlabama,LynyrdSkynyrd,1974
Mabelleamie,Theteeset,1970
EightMilesHigh,TheByrds,1966
LetterFullofTears,GladysKnight&ThePips,1962
SunshineofYourLove,Cream,1968
SweetLittleRockN'Roll,ChuckBerry,1958
LetItRain,EricClapton,1972
StandByMe,"DavidRuffin,JimmyRuffin",1970
BeMyBaby,TheRonettes,1963
HaveYouEverLovedSomebody,FreddieJackson,1987
SilentNight,BingCrosby,1960
Promises,EricClapton,1978
WillieNelson,BlueEyesCryin',1975
StoptheWedding,EttaJames,1962
Brandy,LookingGlass,1972
TumblingDice,TheRollingStones,1972
Iwouldn'tHaveMisseditForTheWorld,RonnieMilsap,1981
DetroitCity,BobbyBare,1963
IHadTooMuchToDream,ElectricPrunes,1967
TheWayYouDoTheThingsYouDo,UB40,1990
LaGrange,ZZTop,1974
RunaroundSue,Dion,1961
Wheels,TheString-A-Longs,1961
SpiritsInTheMaterialWorld,ThePolice,1982
JustWhenINeededYouMost,RandyVanwarmer,1979
What'sLoveGotToDoWithIt,TinaTurner,1984
WalkRightBack,TheEverlyBrothers,1961
LonelyEyes,RobertJohn,1980
ForeverMan,EricClapton,1985
SleepWalk,Santo&Johnny,1959
SomethingAboutYou,Level42,1986
LittleSister,ElvisPresley,1961
Ifyouneedme,SolomonBurke,1963
SweetNothin's,BrendaLee,1960
NoCharge,MelbaMontgomery,1974
TheAnimals,SanFranciscanNights,1967
DonGibson,SeaofHeartbreak,1961
GoldenEarring,TwilightZone,1983
I'veGotLoveOnMyMind,NathalieCole,1977
YouCan'tJudgeABookByTheCover,BoDiddley,1962
GordonLightfoot,Beautiful,1972
NakedEyes,AlwaysSomethingTheretoRemindMe,1983
Annie'sSong,JohnDenver,1974
Chiquitita,ABBA,1979
AlwaysonMyMind,PetShopBoys,1988
JustADream,JimmyClanton,1958
HelpIsOnTheWay,LittleRiverBand,1977
IWantYouToWantMe,CheapTrick,1979
NeverCanSayGoodbye,GloriaGaynor,1975
PeopleGotToBeFree,TheRascals,1968
Unforgettable,DinahWashington,1959
ShadowDancing,AndyGibb,1978
WillieAndTheHandJive,EricClapton,1974
Schoool'sout,AliceCooper,1972
LoveMeWarmAndTender,PaulAnka,1962
AlongComesAWoman,Chicago,1985
CouldIHaveThisDance,AnneMurray,1980
LoveTrain,TheO'Jays,1973
"WonderfulWorld,BeautifulPeople",JimmyCliff,1969
IWantToTakeYouHigher,Ike&TinaTurner,1970
Pressure,BillyJoel,1983
MaybeI'mAmazed,PaulMcCartney,1977
BackintheHighLifeAgain,SteveWinwood,1987
AnotherRainyDayinNewYorkCity,Chicago,1976
AlreadyGone,TheEagles,1974
She'sALady,TomJones,1971
It'sGonnaWorkOutFine,Ike&TinaTurner,1961
Comin'HomeBaby,MelTorme,1962
TheRightTime,RayCharles,1959
MagicMan,Heart,1976
Doyourthing,IsaacHayes,1972
Jessie'sGirl,RickSpringfield,1981
Fernando,Abba,1976
Ramblin'Rose,NatKingCole,1962
FeelLikeMakingLove,RobertaFlack,1974
ForOl'TimesSake,ElvisPresley,1973
WannaBeStartin'Somethin',MichaelJackson,1983
Galveston,GlenCampbell,1969
